,,PlusMinus,PlusMinus,GameID,Seconds
,,mean,std,count,mean
player,HomeAway,,,,
Courtney Lee,Away,-6.1875,11.825171348414145,32,585.6875
Courtney Lee,Home,-2.3157894736842106,12.324673699222977,38,561.4736842105264
Cristiano Felicio,Away,-6.555555555555555,10.016652800877813,27,302.74074074074076
Cristiano Felicio,Home,-5.695652173913044,10.877143603190449,23,307.7391304347826
D.J. Augustin,Away,-3.0,9.783871316152645,30,395.9
D.J. Augustin,Home,-1.3636363636363635,12.241880425965462,33,435.72727272727275
D.J. Wilson,Away,-2.1,3.3813212407775355,10,56.7
D.J. Wilson,Home,-2.875,3.48209706929603,8,59.875
Dakari Johnson,Away,0.375,4.964876634922563,16,77.0
Dakari Johnson,Home,2.3333333333333335,8.18350151033755,12,116.25
Damian Jones,Away,-1.7777777777777777,5.585198693372013,9,104.22222222222223
Damian Jones,Home,-0.4444444444444444,5.387743291748205,9,70.77777777777777
Damian Lillard,Away,2.75,13.212896925401724,32,687.3125
Damian Lillard,Home,5.945945945945946,10.824216538099359,37,694.3513513513514
Damion Lee,Away,-0.7777777777777778,6.036923425424944,9,512.5555555555555
Damion Lee,Home,2.3333333333333335,7.637626158259733,3,394.6666666666667
Damyean Dotson,Away,-1.0,4.676180777800049,16,192.625
Damyean Dotson,Home,-1.1304347826086956,8.838471421863556,23,206.1304347826087
Daniel Hamilton,Away,-0.6666666666666666,9.451631252505216,3,121.33333333333333
Daniel Hamilton,Home,-3.6666666666666665,2.0816659994661326,3,24.333333333333332
Daniel Theis,Away,-1.1666666666666667,6.431354355077918,24,272.1666666666667
Daniel Theis,Home,1.1290322580645162,8.040488938217091,31,247.2258064516129
David Nwaba,Away,-4.827586206896552,9.580743206771,29,419.82758620689657
David Nwaba,Home,-2.176470588235294,11.925197636975536,34,432.8529411764706
David West,Away,-0.5121951219512195,6.975392287246332,41,221.46341463414635
David West,Home,0.43902439024390244,9.08583727701472,41,246.8780487804878
DeAndre Liggins,Away,-4.666666666666667,10.333822080328208,12,292.6666666666667
DeAndre Liggins,Home,-1.8823529411764706,7.80130079651125,17,300.4117647058824
DeAndre' Bembry,Away,-2.0,9.695359714832659,14,322.0
DeAndre' Bembry,Home,-2.111111111111111,5.372253820428732,9,312.1111111111111
DeMar DeRozan,Away,0.3170731707317073,12.64404805509344,41,647.439024390244
DeMar DeRozan,Home,7.363636363636363,12.306343437224802,44,651.1136363636364
Delon Wright,Away,1.4594594594594594,9.836424922463204,37,335.4864864864865
Delon Wright,Home,4.0256410256410255,10.786168480944715,39,408.6923076923077
Dennis Schroder,Away,-5.766666666666667,9.10734199209185,30,554.2
Dennis Schroder,Home,-1.4545454545454546,13.02183480997136,33,593.6060606060606
Dennis Smith Jr.,Away,-5.636363636363637,11.282780524482268,33,558.4242424242424
Dennis Smith Jr.,Home,-2.090909090909091,10.663499766621056,33,571.0
Denzel Valentine,Away,-5.571428571428571,11.912143369850178,35,491.62857142857143
Denzel Valentine,Home,-1.6388888888888888,10.688185140018,36,517.3055555555555
Derrick Jones Jr.,Away,-0.5,4.08656334834051,6,407.3333333333333
Derrick Jones Jr.,Home,-3.5,5.357238094391549,6,184.0
Derrick Walton Jr.,Away,0.125,4.086126352846737,8,122.125
Derrick Walton Jr.,Home,-5.5,7.092249290598858,6,260.5
Derrick Williams,Home,1.0,,1,0.0
Devin Harris,Away,1.85,8.975258389477972,20,374.1
Devin Harris,Home,3.1904761904761907,11.771232083427153,21,311.42857142857144
Dewayne Dedmon,Away,-2.3448275862068964,7.956470242463791,29,452.2068965517241
Dewayne Dedmon,Home,-2.2142857142857144,11.367129814145706,28,462.35714285714283
Deyonta Davis,Away,-4.928571428571429,11.553189623484524,28,287.39285714285717
Deyonta Davis,Home,-0.3548387096774194,7.222872868403423,31,246.16129032258064
Dillon Brooks,Away,-6.552631578947368,8.670226682472745,38,512.1052631578947
Dillon Brooks,Home,0.775,10.413225072486256,40,512.725
Dion Waiters,Away,-0.35714285714285715,11.304234352034387,14,552.7142857142857
Dion Waiters,Home,-5.25,10.01022204821379,12,561.8333333333334
Dirk Nowitzki,Away,-1.6285714285714286,9.750070027759723,35,493.9714285714286
Dirk Nowitzki,Home,0.4864864864864865,12.406587904150902,37,475.7837837837838
Dorian Finney-Smith,Away,-1.0,8.19756061276768,11,440.72727272727275
Dorian Finney-Smith,Home,-1.875,12.642756254641855,8,373.5
Doug McDermott,Away,-3.8947368421052633,8.636157409041425,38,380.5
Doug McDermott,Home,3.2051282051282053,10.076495545730713,39,417.0769230769231
Draymond Green,Away,4.044444444444444,16.682810363250002,45,665.3777777777777
Draymond Green,Home,5.925,11.512284408738878,40,610.5
Dwayne Bacon,Away,-0.6086956521739131,6.597100812511113,23,247.65217391304347
Dwayne Bacon,Home,1.3478260869565217,10.956976588839616,23,266.30434782608694
Dwight Buycks,Away,0.0,9.40744386111339,17,278.88235294117646
Dwight Buycks,Home,-0.18181818181818182,7.7951033581111915,11,185.0909090909091
Dwight Howard,Away,-0.7222222222222222,12.318652781420798,36,571.6944444444445
Dwight Howard,Home,2.7058823529411766,11.897362610118632,34,578.5
Dwight Powell,Away,-0.2702702702702703,8.444750666172082,37,398.4594594594595
Dwight Powell,Home,0.7837837837837838,11.419124151895204,37,405.5405405405405
Dwyane Wade,Away,-2.0,10.593499054713803,10,404.9
Dwyane Wade,Home,0.0,14.957081457098699,15,355.6666666666667
Ed Davis,Away,-0.5714285714285714,9.980232563262577,35,327.34285714285716
Ed Davis,Home,2.8684210526315788,7.9735069859981325,38,355.5263157894737
Elfrid Payton,Away,-5.7,10.260296497203495,20,563.3
Elfrid Payton,Home,-4.3125,9.307479071513761,16,555.9375
Emmanuel Mudiay,Away,-7.444444444444445,9.773831274263832,9,448.55555555555554
Emmanuel Mudiay,Home,-8.181818181818182,9.195848865854439,11,372.45454545454544
Enes Kanter,Away,-5.21875,11.361321978395567,32,485.8125
Enes Kanter,Home,0.2727272727272727,11.611612526025207,33,490.3333333333333
Eric Bledsoe,Away,3.5675675675675675,11.164279696475772,37,593.2972972972973
Eric Bledsoe,Home,2.5675675675675675,11.36402838526643,37,592.7837837837837
Eric Moreland,Away,-0.4411764705882353,10.048944393440532,34,209.7058823529412
Eric Moreland,Home,0.0,8.038699500240845,30,193.73333333333332
Ersan Ilyasova,Away,-4.631578947368421,6.482545164737806,19,476.3157894736842
Ersan Ilyasova,Home,1.8333333333333333,10.865448495782065,24,455.4166666666667
Evan Fournier,Away,-2.6,12.079597123524719,25,619.56
Evan Fournier,Home,-2.380952380952381,12.749416419884442,21,648.6666666666666
Evan Turner,Away,-1.3823529411764706,13.484030298237208,34,488.3529411764706
Evan Turner,Home,1.0,10.973652656776547,39,468.0769230769231
Frank Kaminsky,Away,-2.25,12.977728174508378,36,443.97222222222223
Frank Kaminsky,Home,-0.45454545454545453,10.779294124300618,33,435.3939393939394
Frank Ntilikina,Away,-2.742857142857143,8.74253583196027,35,392.34285714285716
Frank Ntilikina,Home,1.8108108108108107,9.12821583467023,37,385.2162162162162
Fred VanVleet,Away,2.864864864864865,11.316561516846209,37,337.2162162162162
Fred VanVleet,Home,5.45,9.483994614409788,40,390.0
Gary Payton II,Away,0.07692307692307693,8.96717661308488,13,173.46153846153845
Gary Payton II,Home,2.125,8.374067112222114,8,235.625
Georgios Papagiannis,Away,15.0,,1,46.0
Gian Clavell,Away,2.2,4.324349662087931,5,153.0
Giannis Antetokounmpo,Away,1.6216216216216217,12.329619601574072,37,702.6756756756756
Giannis Antetokounmpo,Home,2.575,11.823244164107523,40,688.725
Goran Dragic,Away,-2.176470588235294,11.500910604883988,34,566.4117647058823
Goran Dragic,Home,1.5675675675675675,12.986190401389516,37,583.4864864864865
Gordon Hayward,Away,3.0,,1,84.0
Greg Monroe,Away,-4.722222222222222,10.531775759747013,18,310.6111111111111
Greg Monroe,Home,-2.75,4.959838707054898,16,274.0625
Guerschon Yabusele,Away,-0.4444444444444444,4.501270699313332,18,93.94444444444444
Guerschon Yabusele,Home,0.35,5.050013027601747,20,102.35
Harrison Barnes,Away,-6.714285714285714,12.251221856402319,35,651.8857142857142
Harrison Barnes,Home,-0.8378378378378378,12.850666894742844,37,655.2162162162163
Hassan Whiteside,Away,-2.7857142857142856,9.538837349982334,28,423.7857142857143
Hassan Whiteside,Home,-0.037037037037037035,9.221552853887301,27,431.8888888888889
Henry Ellenson,Away,1.3529411764705883,8.845487383905057,17,158.11764705882354
Henry Ellenson,Home,-1.631578947368421,8.870741709661722,19,158.52631578947367
Isaiah Hicks,Away,-1.1428571428571428,12.772738827004064,7,222.71428571428572
Isaiah Hicks,Home,-1.4444444444444444,4.216370213557839,9,261.1111111111111
Isaiah Taylor,Away,-0.7647058823529411,7.282435587953499,34,325.5
Isaiah Taylor,Home,0.5714285714285714,8.659948556123702,28,290.7142857142857
Isaiah Thomas,Away,-1.4444444444444444,7.17828515578601,9,436.8888888888889
Isaiah Thomas,Home,2.3333333333333335,15.214028613968972,6,508.0
Ish Smith,Away,-3.2,9.982548875476745,40,452.9
Ish Smith,Home,3.769230769230769,8.957389006499897,39,468.94871794871796
